site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HAKA 13MAR06 2013.1773 56357 1730 3   93.6    459  0.179782   2504056  0.747091  1832  0.705364  0.0000 0.001259 0.001137 0.004829  0.064046 -0.192504  0.043566  22.6344564218 -266.3955331194  1832.70536
HAKA 13MAR07 2013.1800 56358 1730 4   93.6    459  0.180910   2504056  0.745379  1832  0.701922  0.0000 0.001240 0.001147 0.004804  0.030444 -0.185613  0.060257  22.6344564064 -266.3955331084  1832.70192
HAKA 13MAR08 2013.1828 56359 1730 5   93.6    459  0.179723   2504056  0.747277  1832  0.701026  0.0000 0.001236 0.001156 0.005026  0.045620 -0.205302  0.044425  22.6344564235 -266.3955331200  1832.70103
HAKA 13MAR09 2013.1855 56360 1730 6   93.6    459  0.181571   2504056  0.747033  1832  0.709839  0.0000 0.001190 0.001092 0.004720  0.026330 -0.191210  0.068325  22.6344564213 -266.3955331020  1832.70984
HAKA 13MAR10 2013.1882 56361 1731 0   93.6    459  0.181523   2504056  0.748993  1832  0.717932  0.0000 0.001275 0.001246 0.005029  0.047814 -0.184219  0.083600  22.6344564390 -266.3955331025  1832.71793
HAKA 13MAR11 2013.1910 56362 1731 1   93.6    459  0.179390   2504056  0.749984  1832  0.711903  0.0000 0.001245 0.001158 0.004910  0.057915 -0.123106  0.119983  22.6344564479 -266.3955331232  1832.71190
HAKA 13MAR12 2013.1937 56363 1731 2   93.6    459  0.182207   2504056  0.746970  1832  0.717661  0.0000 0.001223 0.001112 0.004814  0.038702 -0.184616  0.067561  22.6344564207 -266.3955330958  1832.71766
HAKA 13MAR13 2013.1964 56364 1731 3   93.6    459  0.183568   2504056  0.748008  1832  0.710630  0.0000 0.001238 0.001149 0.004896  0.005842 -0.162899  0.106569  22.6344564301 -266.3955330826  1832.71063
HAKA 13MAR14 2013.1992 56365 1731 4   93.6    459  0.182395   2504056  0.749649  1832  0.706208  0.0000 0.001202 0.001111 0.004676 -0.000705 -0.164019  0.100467  22.6344564449 -266.3955330940  1832.70621
HAKA 13MAR15 2013.2019 56366 1731 5   93.6    459  0.179301   2504056  0.747597  1832  0.716140  0.0000 0.001190 0.001124 0.004754  0.028558 -0.161075  0.106659  22.6344564264 -266.3955331241  1832.71614
HAKA 13MAR16 2013.2047 56367 1731 6   93.6    459  0.181607   2504056  0.748141  1832  0.712599  0.0000 0.001213 0.001133 0.004862  0.038031 -0.165980  0.118044  22.6344564313 -266.3955331016  1832.71260
